EmpID,Equity,TrainingCost,EquipmentCost,TotalLeaves,TotalIncome,TotalExpense,TotalSavings
169,Stocks,2356.99,3094.63,21,198035.9,26988.46,171047.44
170,Stocks,3156.8,3879.21,13,197280.87,53852.86,143428.01
171,Options,2849.17,1717.46,16,194037.0,41146.77,152890.23
172,Options,3778.44,934.74,20,183658.89,42051.15,141607.74000000002
173,Options,4744.82,2831.15,28,169354.92,25828.35,143526.57
174,Stocks,2870.17,3374.46,0,90661.41,47844.35,42817.060000000005
175,Stocks,1355.74,2791.91,16,134815.54,63321.35,71494.19
176,Options,3245.91,3546.09,1,189004.43,43073.55,145930.88
177,Stocks,2474.16,2546.8,28,137024.9,28861.8,108163.09999999999
178,Stocks,2578.6,2852.83,2,151672.19,94538.57,57133.619999999995
179,Options,2149.2,1982.46,24,101191.1,45507.66,55683.44
180,Stocks,2279.85,3146.83,9,108059.73,40973.15,67086.57999999999
181,Options,4503.8,3238.68,14,58717.58,35614.44,23103.14
182,Options,3047.51,1576.49,6,137925.7,91890.58,46035.12000000001
183,Options,3787.0,2175.03,18,191018.88,33856.44,157162.44
184,Options,2155.23,2923.9,17,55981.47,53684.84,2296.6300000000047
185,Options,2411.89,4827.93,25,162728.55,37400.64,125327.90999999999
186,Stocks,3795.4,4140.13,14,132388.06,32850.86,99537.2
187,Stocks,3519.46,3226.16,29,172243.31,52403.61,119839.7
188,Options,2879.54,4059.13,8,122447.73,76830.15,45617.58
189,Stocks,3150.45,4599.05,30,134498.48,78838.95,55659.53000000001
190,Options,2808.78,4176.79,3,77963.05,37050.29,40912.76
191,Options,3409.35,2152.06,9,187737.71,41813.29,145924.41999999998
192,Stocks,4227.77,3206.39,22,176004.24,34448.59,141555.65
193,Options,4250.05,2041.99,30,106934.51,68138.46,38796.04999999999
194,Stocks,2285.79,4734.04,10,190070.7,51230.87,138839.83000000002
195,Stocks,3813.82,4456.73,27,159768.25,52334.99,107433.26000000001
196,Options,1716.79,2408.78,5,115367.48,44648.3,70719.18
197,Stocks,2731.07,4423.13,14,156510.75,43941.83,112568.92
198,Options,2121.61,3377.55,1,169757.76,47369.67,122388.09000000001
199,Options,4252.0,2527.79,10,122838.46,49573.65,73264.81
200,Stocks,3986.83,3670.09,13,178678.41,75884.1,102794.31
201,Options,2121.81,3869.42,17,74057.84,33705.02,40352.82
202,Stocks,2915.33,1795.48,14,141466.47,55443.32,86023.15
203,Options,2830.44,2224.86,27,80430.97,64187.97,16243.0
204,Stocks,2666.04,4952.87,6,139681.93,28344.5,111337.43
205,Stocks,4660.34,1073.83,15,53909.18,46346.91,7562.269999999997
206,Options,1481.43,1185.73,13,158404.92,98756.03,59648.890000000014
207,Options,2360.87,3299.3,24,131233.82,54345.89,76887.93000000001
208,Stocks,1179.64,1030.86,28,177379.17,29282.32,148096.85
209,Stocks,3627.8,4818.83,29,107645.6,93491.89,14153.710000000006
210,Options,3221.49,4871.0,25,63969.97,52883.63,11086.340000000004
211,Stocks,1976.82,2466.3,1,193419.25,97337.34,96081.91
212,Stocks,2312.41,2871.46,20,112338.55,68912.08,43426.47
213,Stocks,3002.1,3496.66,16,187869.79,88148.98,99720.81000000001
214,Options,3036.8,2311.39,1,105962.47,43097.12,62865.35
215,Stocks,3403.66,4050.27,28,183217.95,29686.88,153531.07
216,Options,3926.13,3479.01,7,126094.46,46616.24,79478.22
217,Stocks,3172.78,2885.3,16,108717.92,29479.8,79238.12
218,Options,2892.46,1829.48,29,180209.26,89938.72,90270.54000000001
219,Stocks,1747.51,4749.64,30,130662.76,87539.46,43123.29999999999
220,Options,4087.37,3361.42,18,116875.1,71816.55,45058.55
221,Options,4789.28,647.4,8,133376.8,62606.54,70770.25999999998
222,Options,4517.44,2813.5,20,188388.45,30768.91,157619.54
223,Stocks,1094.04,2883.24,10,188535.92,53986.57,134549.35
224,Stocks,1579.14,3435.59,0,117259.72,21766.99,95492.73
225,Stocks,4371.04,1203.27,21,166132.27,80068.92,86063.34999999999
226,Options,2957.65,4415.59,16,107918.9,77083.69,30835.209999999992
227,Options,2205.84,3013.52,21,165202.36,38679.17,126523.18999999999
228,Options,4132.2,3240.06,27,128378.19,35007.96,93370.23000000001
229,Options,4992.96,3807.97,8,79868.8,67621.95,12246.850000000006
230,Options,1557.16,1039.31,16,123500.48,21099.37,102401.11
231,Options,2589.21,2526.84,15,102513.07,73696.13,28816.940000000002
232,Stocks,4662.39,4018.64,26,155381.87,87945.23,67436.64
233,Options,1074.21,4517.44,24,173464.26,28086.25,145378.01
234,Options,3644.69,4681.6,17,111316.15,77164.4,34151.75
235,Options,3111.48,707.34,1,93818.53,76423.16,17395.369999999995
236,Options,2841.27,2555.1,4,145748.32,99930.11,45818.21000000001
237,Options,1545.64,1425.61,16,106562.77,33884.34,72678.43000000001
238,Options,2606.0,1500.91,24,143054.0,82433.92,60620.08
239,Options,1903.09,3309.09,4,155987.29,87837.37,68149.92000000001
240,Options,1092.34,514.68,16,177793.94,61041.7,116752.24
241,Options,3006.37,4705.67,4,169357.0,95943.18,73413.82
242,Stocks,3059.05,1096.4,2,118400.24,52353.43,66046.81
243,Stocks,1100.27,1976.89,0,67148.56,34731.35,32417.21
244,Options,1805.6,2446.23,12,104108.14,60383.22,43724.92
245,Stocks,1425.65,4349.14,3,116314.15,72086.2,44227.95
246,Stocks,4265.42,4015.52,7,58165.65,83653.37,-25487.719999999994
247,Options,2735.11,807.12,25,158864.04,70680.09,88183.95000000001
248,Options,2790.09,4703.44,4,141441.38,92713.92,48727.46000000001
249,Stocks,4046.58,3306.63,8,139446.8,36668.05,102778.74999999999
250,Stocks,4907.97,4930.19,2,127960.87,44436.59,83524.28
251,Options,4827.45,4977.43,12,50696.74,53273.25,-2576.510000000002
252,Options,4604.09,918.69,15,185931.88,26211.49,159720.39
253,Options,4216.08,3616.89,22,142230.74,74385.82,67844.91999999998
254,Stocks,3307.5,1124.51,12,172051.21,66722.45,105328.76
255,Options,3158.78,2452.62,12,96647.62,91954.8,4692.819999999992
256,Options,2847.2,885.79,8,160528.16,51125.94,109402.22
257,Stocks,4960.02,4029.07,13,72999.87,33151.53,39848.34
258,Stocks,1301.64,3189.14,26,131235.85,91418.05,39817.8
259,Options,2263.14,4363.71,19,160638.92,63885.07,96753.85
260,Stocks,2253.48,4286.28,17,158508.25,73251.78,85256.47
261,Stocks,3124.77,1699.19,29,150243.69,69940.55,80303.14
262,Stocks,4875.37,1031.65,18,55133.06,67499.49,-12366.430000000008
263,Stocks,4894.71,630.13,21,141015.92,25740.29,115275.63
264,Options,4356.33,4537.25,2,120814.23,95567.04,25247.190000000002
265,Options,4624.79,4963.3,17,85091.95,43590.37,41501.579999999994
266,Stocks,2739.77,2366.2,16,76252.2,58579.72,17672.479999999996
267,Stocks,1111.11,3087.06,5,85073.82,80426.84,4646.9800000000105
268,Options,2275.16,1341.82,6,191400.52,85352.64,106047.87999999999
269,Options,3922.03,2741.49,29,106218.21,42835.67,63382.54000000001
270,Stocks,2625.32,3572.4,25,182161.36,80052.04,102109.31999999999
271,Options,4022.6,952.6,22,177048.99,93721.04,83327.95
272,Stocks,4419.79,2993.47,2,78602.87,66438.9,12163.970000000001
273,Options,2493.34,504.24,24,82513.73,96087.51,-13573.779999999999
274,Options,1706.62,3050.11,28,103862.44,27516.08,76346.36
275,Stocks,1266.34,3272.66,6,51391.37,25104.25,26287.120000000003
276,Options,4007.72,2260.64,27,159900.09,70298.53,89601.56
277,Options,4212.48,3726.06,14,122643.38,95170.7,27472.680000000008
278,Stocks,3109.17,4015.48,3,153725.46,86502.43,67223.03
279,Stocks,1457.21,1612.62,18,150282.59,50383.63,99898.95999999999
280,Options,3754.99,4488.37,23,118458.06,64037.46,54420.6
281,Stocks,4426.48,830.92,7,164811.62,68547.05,96264.56999999999
282,Stocks,3340.29,2370.63,19,76141.52,79265.07,-3123.550000000003
283,Options,4189.33,4212.0,4,108876.19,91885.14,16991.050000000003
284,Stocks,2268.53,757.69,15,184680.55,67143.7,117536.84999999999
285,Stocks,1714.8,1223.35,13,164460.08,58348.47,106111.60999999999
286,Stocks,1759.81,3274.11,0,188199.33,61222.46,126976.87
287,Stocks,3358.84,1157.11,19,138536.78,71400.31,67136.47
288,Stocks,4729.1,2412.11,1,106638.78,31867.97,74770.81
289,Options,4210.44,4186.13,16,66723.41,67343.34,-619.929999999993
290,Stocks,3322.38,1021.72,8,192402.84,96699.65,95703.19
291,Options,3153.59,1025.31,26,62373.08,24896.36,37476.72
292,Options,2417.72,1354.08,23,139773.77,81008.05,58765.71999999999
293,Options,2970.94,2196.48,3,157763.15,51705.37,106057.78
294,Stocks,1131.93,3970.68,6,114617.12,43853.05,70764.06999999999
295,Options,2802.5,2383.46,23,92611.0,43294.88,49316.12
296,Stocks,2834.76,3857.38,29,163537.28,54298.42,109238.86
297,Stocks,3465.69,1494.23,26,134951.14,76462.85,58488.29000000001
298,Stocks,4293.07,4361.41,21,184751.91,94254.05,90497.86
299,Options,1905.69,1434.4,5,163517.05,42665.99,120851.06
300,Stocks,2038.28,2965.82,24,88509.55,47121.98,41387.57
301,Stocks,3412.25,3678.3,30,176567.47,99597.25,76970.22
302,Options,4908.28,592.11,11,83692.85,40606.88,43085.97000000001
303,Stocks,2916.62,4430.41,22,142054.12,73802.27,68251.84999999999
304,Options,4189.09,916.44,22,68003.65,72005.98,-4002.3300000000017
305,Options,3467.23,2858.71,8,86899.49,99775.08,-12875.589999999997
306,Options,2618.84,684.66,28,101677.16,38823.74,62853.420000000006
307,Stocks,2555.43,1610.42,18,87766.23,40863.91,46902.31999999999
308,Options,3571.59,1336.89,12,137802.12,37831.2,99970.92
309,Options,3672.49,1820.61,6,159307.42,95908.84,63398.580000000016
310,Stocks,1836.15,1447.04,6,189075.83,56642.37,132433.46
311,Options,2548.63,4252.28,21,196047.24,34765.62,161281.62
312,Options,1759.54,3838.51,1,104652.99,20855.4,83797.59
313,Options,2453.67,3058.96,15,82867.3,74667.56,8199.740000000005
314,Options,1540.32,1630.68,20,176212.7,98302.56,77910.14000000001
315,Options,1519.22,3180.01,25,72471.43,34753.9,37717.52999999999
316,Options,3348.31,4790.53,5,75444.24,87207.55,-11763.309999999998
317,Options,4018.47,575.4,4,67006.83,49352.08,17654.75
318,Options,1059.75,1770.66,18,108815.75,83999.32,24816.429999999993
319,Stocks,3561.51,591.36,28,62707.37,37869.23,24838.14
320,Options,1889.45,4956.29,16,148057.41,61315.47,86741.94
321,Options,3999.38,4714.71,3,64389.65,22582.83,41806.82
322,Stocks,1562.34,2036.14,25,101373.77,57894.02,43479.75000000001
323,Options,4484.54,3570.94,19,177487.36,81544.2,95943.15999999999
324,Stocks,1222.45,2538.8,28,51560.82,89051.02,-37490.200000000004
325,Stocks,1469.57,3509.52,8,53974.74,90052.01,-36077.27
326,Options,2424.28,3944.68,29,191734.46,35568.8,156165.65999999997
327,Stocks,3240.13,2319.74,0,75377.3,82505.01,-7127.709999999992
328,Options,3489.45,1482.59,30,170690.3,38523.53,132166.77
329,Stocks,3198.0,3355.49,5,169301.75,70608.22,98693.53
330,Stocks,3067.32,913.95,25,88005.81,68136.24,19869.569999999992
331,Stocks,2002.69,3042.37,2,142736.14,57720.14,85016.00000000001
332,Stocks,1851.54,4684.16,10,78613.59,66630.49,11983.099999999991
333,Options,1882.36,1436.53,4,50137.86,61502.81,-11364.949999999997
334,Options,2019.52,4130.71,6,164987.86,28465.71,136522.15
335,Options,2582.49,1596.21,13,131454.72,89567.09,41887.630000000005
336,Options,3327.51,1638.85,19,195499.39,47770.39,147729.0
337,Options,1247.09,1670.31,24,119602.82,69772.38,49830.44
338,Options,2231.84,730.09,1,52096.93,91684.11,-39587.18
339,Stocks,3812.29,639.1,18,56973.4,96078.12,-39104.719999999994
340,Options,4430.56,4726.33,28,182199.7,60785.46,121414.24000000002
341,Options,1069.73,4200.98,17,87171.45,29582.11,57589.34
342,Options,2282.83,3713.92,30,128978.98,94049.8,34929.17999999999
343,Options,2034.41,1970.96,9,178642.99,94799.21,83843.77999999998
344,Stocks,2466.47,2682.69,25,85841.37,91981.44,-6140.070000000007
345,Options,3429.86,3914.2,23,76146.8,48051.65,28095.15
346,Options,3320.19,3931.73,3,64691.07,41935.53,22755.54
347,Stocks,1178.36,1258.43,5,98331.9,69042.63,29289.26999999999
348,Options,3065.56,2621.54,1,192921.8,96232.56,96689.23999999999
349,Stocks,1506.12,2712.02,18,54862.59,84659.75,-29797.160000000003
350,Options,2872.75,2828.78,23,137862.87,24076.82,113786.04999999999
351,Stocks,3727.91,3476.21,7,54040.92,87719.49,-33678.57000000001
352,Stocks,4603.53,3245.29,30,120840.51,89248.14,31592.369999999995
353,Options,1807.8,1781.79,4,117810.84,97434.92,20375.92
354,Stocks,4743.95,1778.5,0,127402.98,43925.82,83477.16
355,Stocks,2167.71,2675.94,12,67031.34,52015.72,15015.619999999995
356,Options,3697.86,4553.92,1,121830.15,24618.33,97211.81999999999
357,Options,1459.27,4915.1,14,140306.76,50213.93,90092.83000000002
358,Stocks,1515.3,1216.16,30,192107.26,69457.73,122649.53000000001
359,Options,1229.88,3105.56,29,159164.09,84011.87,75152.22
360,Options,3553.41,4174.07,9,156913.76,91952.88,64960.880000000005
361,Stocks,3657.48,636.46,20,185490.77,53199.61,132291.15999999997
362,Stocks,3918.4,1663.93,6,91270.95,23251.67,68019.28
363,Options,1932.66,508.04,18,168160.13,85404.08,82756.05
364,Options,4752.19,3148.63,12,116659.07,69326.53,47332.54000000001
365,Stocks,4721.62,1066.08,2,146769.43,95301.84,51467.59
366,Options,1042.7,4109.45,30,113246.69,48688.49,64558.200000000004
367,Options,2579.29,1841.95,3,134884.03,89428.57,45455.45999999999
368,Options,4559.31,2674.83,29,71611.34,39753.48,31857.859999999993
369,Stocks,1512.46,4989.61,23,116026.73,53982.49,62044.24
370,Options,3435.71,3486.97,27,187300.43,36774.86,150525.57
371,Options,3357.53,1378.6,27,148713.34,28204.09,120509.25
372,Options,1612.99,1385.37,3,101482.7,92687.42,8795.279999999999
373,Options,2448.32,4565.45,3,199798.0,67224.11,132573.89
374,Stocks,2009.65,1076.68,9,176026.81,22850.86,153175.95
375,Stocks,4441.09,2825.27,5,63191.18,76450.72,-13259.54
376,Stocks,4600.46,4775.9,12,132998.23,49288.88,83709.35
377,Options,4704.13,3352.98,13,166642.66,94232.41,72410.25
378,Stocks,2931.27,1243.7,19,146017.7,32744.82,113272.88
379,Stocks,3310.62,4295.94,5,170729.38,62252.61,108476.77
380,Stocks,4804.27,2674.69,6,60781.34,54959.06,5822.279999999999
381,Stocks,3519.32,2361.46,13,50651.87,48946.48,1705.3899999999994
382,Stocks,2740.7,1571.78,19,162270.35,85249.48,77020.87000000001
383,Stocks,4946.11,3137.29,23,98318.8,44137.58,54181.22
384,Stocks,1110.46,3338.18,5,144981.98,38430.62,106551.36000000002
385,Stocks,1656.49,3675.7,5,76464.36,54562.63,21901.730000000003
386,Options,1343.54,4513.17,10,118538.3,69832.65,48705.65000000001
387,Stocks,3915.94,3966.63,4,107464.26,75721.4,31742.86
388,Options,3098.54,2743.11,25,165788.59,24189.08,141599.51
389,Stocks,3736.28,2663.82,28,172267.83,36016.95,136250.88
390,Options,4085.17,657.51,28,197792.09,58183.71,139608.38
391,Options,1704.87,1112.52,10,169465.8,34902.37,134563.43
392,Stocks,4976.44,3016.69,19,149462.04,51450.36,98011.68000000001
393,Stocks,4786.75,2652.34,4,76764.35,25470.43,51293.920000000006
394,Stocks,1818.08,2189.79,28,159625.49,94016.99,65608.49999999999
395,Options,1276.4,2163.04,25,129734.0,65953.21,63780.78999999999
396,Options,4781.71,3274.26,26,51085.66,47971.29,3114.3700000000026
397,Options,2290.6,4191.78,19,51158.61,46169.8,4988.809999999998
398,Options,2794.84,2876.44,19,143325.9,84349.09,58976.81
399,Options,4052.01,1630.24,14,147855.35,72594.46,75260.89
400,Stocks,4453.93,4285.58,8,166798.46,48740.94,118057.51999999999
401,Stocks,4231.16,4287.58,29,129210.49,84238.55,44971.94
